,Time,Displacement,Force,Strain 1
1,0.0,0.0,0.2434,-0.0007
2,0.02,0.0,0.2442,-0.0007
3,0.04,0.0,0.2444,-0.0007
4,0.06,0.0001,0.244,-0.0007
5,0.08,0.0001,0.2435,-0.0007
6,0.1,0.0002,0.2434,-0.0007
7,0.12,0.0003,0.2436,-0.0007
8,0.14,0.0004,0.2439,-0.0007
9,0.16,0.0005,0.2439,-0.0006
10,0.18,0.0007,0.2443,-0.0006
11,0.2,0.0009,0.2442,-0.0006
12,0.22,0.0012,0.244,-0.0005
13,0.24,0.0015,0.245,-0.0004
14,0.26,0.0019,0.2457,-0.0002
15,0.28,0.0023,0.2463,-0.0001
16,0.3,0.0028,0.2477,0.0003
17,0.32,0.0033,0.2494,0.0006
18,0.34,0.0039,0.2508,0.0009
19,0.36,0.0045,0.252,0.0013
20,0.38,0.005,0.2534,0.0016
21,0.4,0.0056,0.2541,0.0019
22,0.42,0.0062,0.2559,0.0022
23,0.44,0.0067,0.257,0.0025
24,0.46,0.0072,0.2574,0.0028
25,0.48,0.0076,0.2585,0.003
26,0.5,0.008,0.2598,0.0032
27,0.52,0.0084,0.2602,0.0035
28,0.54,0.0088,0.2609,0.0037
29,0.56,0.0091,0.2621,0.0038
30,0.58,0.0095,0.2629,0.004
31,0.6,0.0098,0.2633,0.0041
32,0.62,0.0101,0.2645,0.0043
33,0.64,0.0104,0.2653,0.0045
34,0.66,0.0107,0.2661,0.0047
35,0.68,0.011,0.2668,0.0048
36,0.7,0.0114,0.2674,0.005
37,0.72,0.0117,0.2676,0.0052
38,0.74,0.012,0.2674,0.0053
39,0.76,0.0123,0.2682,0.0055
40,0.78,0.0126,0.2698,0.0057
41,0.8,0.0129,0.2708,0.0058
42,0.82,0.0133,0.2712,0.006
43,0.84,0.0136,0.2714,0.0062
44,0.86,0.014,0.2715,0.0064
45,0.88,0.0143,0.2711,0.0065
46,0.9,0.0147,0.2727,0.0067
47,0.92,0.015,0.2738,0.0069
48,0.94,0.0154,0.2748,0.0071
49,0.96,0.0157,0.2759,0.0073
50,0.98,0.016,0.2761,0.0075
51,1.0,0.0163,0.2769,0.0076
52,1.02,0.0167,0.2778,0.0078
53,1.04,0.017,0.2777,0.008
54,1.06,0.0174,0.279,0.0082
55,1.08,0.0177,0.2793,0.0083
56,1.1,0.018,0.2801,0.0085
57,1.12,0.0184,0.2815,0.0087
58,1.14,0.0187,0.2823,0.0089
59,1.16,0.019,0.2825,0.009
60,1.18,0.0193,0.2826,0.0092
61,1.2,0.0196,0.2841,0.0093
62,1.22,0.0199,0.2848,0.0095
63,1.24,0.0203,0.2858,0.0097
64,1.26,0.0206,0.2861,0.0098
65,1.28,0.021,0.287,0.01
66,1.3,0.0213,0.2876,0.0103
67,1.32,0.0217,0.2885,0.0104
68,1.34,0.022,0.2889,0.0106
69,1.36,0.0224,0.288,0.0108
70,1.38,0.0227,0.2881,0.0109
71,1.4,0.023,0.2897,0.0111
72,1.42,0.0233,0.2914,0.0112
73,1.44,0.0237,0.2926,0.0114
74,1.46,0.024,0.2932,0.0116
75,1.48,0.0243,0.2937,0.0118
76,1.5,0.0247,0.2941,0.012
77,1.52,0.025,0.294,0.0121
78,1.54,0.0253,0.2946,0.0123
79,1.56,0.0256,0.296,0.0124
80,1.58,0.026,0.2964,0.0126
81,1.6,0.0263,0.2972,0.0128
82,1.62,0.0266,0.2976,0.013
83,1.64,0.027,0.2984,0.0132
84,1.66,0.0273,0.2996,0.0134
