,Time,Displacement,Force,Strain 1
1,0.0,0.0,0.0992,-0.0049
2,0.02,0.0,0.0993,-0.0049
3,0.04,0.0,0.0996,-0.005
4,0.06,0.0,0.0996,-0.0049
5,0.08,0.0001,0.0998,-0.0049
6,0.1,0.0002,0.0996,-0.0049
7,0.12,0.0002,0.0995,-0.0049
8,0.14,0.0003,0.0992,-0.0049
9,0.16,0.0004,0.0986,-0.0049
10,0.18,0.0006,0.0988,-0.0049
11,0.2,0.0008,0.0985,-0.0049
12,0.22,0.001,0.0987,-0.0048
13,0.24,0.0013,0.1,-0.0047
14,0.26,0.0017,0.1018,-0.0045
15,0.28,0.0022,0.1029,-0.0043
16,0.3,0.0028,0.1043,-0.0039
17,0.32,0.0034,0.1061,-0.0036
18,0.34,0.004,0.108,-0.0033
19,0.36,0.0046,0.11,-0.0029
20,0.38,0.0052,0.1115,-0.0026
21,0.4,0.0057,0.1131,-0.0024
22,0.42,0.0062,0.115,-0.0021
23,0.44,0.0067,0.1169,-0.0018
24,0.46,0.0071,0.118,-0.0016
25,0.48,0.0075,0.1187,-0.0014
26,0.5,0.0079,0.1199,-0.0012
27,0.52,0.0083,0.1212,-0.001
28,0.54,0.0087,0.1216,-0.0008
29,0.56,0.0091,0.1222,-0.0006
30,0.58,0.0095,0.123,-0.0004
31,0.6,0.0098,0.1239,-0.0002
32,0.62,0.0101,0.1246,-0.0001
33,0.64,0.0105,0.1253,0.0001
34,0.66,0.0108,0.1261,0.0002
35,0.68,0.0111,0.1267,0.0004
36,0.7,0.0114,0.1274,0.0006
37,0.72,0.0117,0.1278,0.0008
38,0.74,0.012,0.1288,0.0009
39,0.76,0.0123,0.131,0.0011
40,0.78,0.0126,0.1324,0.0012
41,0.8,0.013,0.1328,0.0014
42,0.82,0.0133,0.1329,0.0015
43,0.84,0.0136,0.1338,0.0017
44,0.86,0.0139,0.1355,0.0019
45,0.88,0.0142,0.1362,0.002
46,0.9,0.0146,0.1365,0.0022
47,0.92,0.0149,0.1371,0.0024
48,0.94,0.0153,0.138,0.0026
49,0.96,0.0157,0.1393,0.0028
50,0.98,0.016,0.1403,0.003
51,1.0,0.0164,0.1413,0.0031
52,1.02,0.0167,0.1416,0.0033
53,1.04,0.017,0.1426,0.0035
54,1.06,0.0174,0.1438,0.0037
55,1.08,0.0177,0.1445,0.0038
56,1.1,0.018,0.1465,0.004
57,1.12,0.0183,0.1469,0.0041
58,1.14,0.0187,0.1468,0.0043
59,1.16,0.019,0.1476,0.0044
60,1.18,0.0193,0.1489,0.0046
61,1.2,0.0197,0.1497,0.0048
62,1.22,0.02,0.1503,0.005
63,1.24,0.0203,0.1511,0.0051
64,1.26,0.0206,0.1518,0.0052
65,1.28,0.021,0.1533,0.0054
66,1.3,0.0213,0.1544,0.0056
67,1.32,0.0217,0.1559,0.0057
68,1.34,0.022,0.1563,0.0059
69,1.36,0.0224,0.1567,0.0061
70,1.38,0.0227,0.1584,0.0063
71,1.4,0.023,0.1586,0.0064
72,1.42,0.0234,0.1591,0.0066
73,1.44,0.0237,0.1596,0.0068
74,1.46,0.024,0.1596,0.0069
75,1.48,0.0244,0.1601,0.0071
76,1.5,0.0247,0.161,0.0073
77,1.52,0.025,0.1626,0.0074
78,1.54,0.0254,0.1638,0.0076
79,1.56,0.0257,0.1649,0.0077
80,1.58,0.026,0.1656,0.0079
81,1.6,0.0263,0.1664,0.008
82,1.62,0.0266,0.1674,0.0082
83,1.64,0.027,0.1683,0.0084
84,1.66,0.0273,0.1689,0.0085
85,1.68,0.0276,0.1692,0.0087
86,1.7,0.0279,0.1701,0.0089
87,1.72,0.0283,0.1715,0.009
88,1.74,0.0287,0.1732,0.0092
89,1.76,0.029,0.1737,0.0094
90,1.78,0.0294,0.1737,0.0096
91,1.8,0.0297,0.1741,0.0097
92,1.82,0.03,0.1754,0.0099
93,1.84,0.0304,0.1756,0.01
94,1.86,0.0307,0.176,0.0102
95,1.88,0.031,0.1775,0.0103
96,1.9,0.0314,0.1788,0.0105
