1,Time,Displacement,Force,Strain 1
,(s),(mm),(kN),(%)
"","0,0000","0,0000","0,2434","-0,0007"
"","0,0200","0,0000","0,2442","-0,0007"
"","0,0400","0,0000","0,2444","-0,0007"
"","0,0600","0,0001","0,2440","-0,0007"
"","0,0800","0,0001","0,2435","-0,0007"
"","0,1000","0,0002","0,2434","-0,0007"
"","0,1200","0,0003","0,2436","-0,0007"
"","0,1400","0,0004","0,2439","-0,0007"
"","0,1600","0,0005","0,2439","-0,0006"
"","0,1800","0,0007","0,2443","-0,0006"
"","0,2000","0,0009","0,2442","-0,0006"
"","0,2200","0,0012","0,2440","-0,0005"
"","0,2400","0,0015","0,2450","-0,0004"
"","0,2600","0,0019","0,2457","-0,0002"
"","0,2800","0,0023","0,2463","-0,0001"
"","0,3000","0,0028","0,2477","0,0003"
"","0,3200","0,0033","0,2494","0,0006"
"","0,3400","0,0039","0,2508","0,0009"
"","0,3600","0,0045","0,2520","0,0013"
"","0,3800","0,0050","0,2534","0,0016"
"","0,4000","0,0056","0,2541","0,0019"
"","0,4200","0,0062","0,2559","0,0022"
"","0,4400","0,0067","0,2570","0,0025"
"","0,4600","0,0072","0,2574","0,0028"
"","0,4800","0,0076","0,2585","0,0030"
"","0,5000","0,0080","0,2598","0,0032"
"","0,5200","0,0084","0,2602","0,0035"
"","0,5400","0,0088","0,2609","0,0037"
"","0,5600","0,0091","0,2621","0,0038"
"","0,5800","0,0095","0,2629","0,0040"
"","0,6000","0,0098","0,2633","0,0041"
"","0,6200","0,0101","0,2645","0,0043"
"","0,6400","0,0104","0,2653","0,0045"
"","0,6600","0,0107","0,2661","0,0047"
"","0,6800","0,0110","0,2668","0,0048"
"","0,7000","0,0114","0,2674","0,0050"
"","0,7200","0,0117","0,2676","0,0052"
"","0,7400","0,0120","0,2674","0,0053"
"","0,7600","0,0123","0,2682","0,0055"
"","0,7800","0,0126","0,2698","0,0057"
"","0,8000","0,0129","0,2708","0,0058"
"","0,8200","0,0133","0,2712","0,0060"
"","0,8400","0,0136","0,2714","0,0062"
"","0,8600","0,0140","0,2715","0,0064"
"","0,8800","0,0143","0,2711","0,0065"
"","0,9000","0,0147","0,2727","0,0067"
"","0,9200","0,0150","0,2738","0,0069"
"","0,9400","0,0154","0,2748","0,0071"
"","0,9600","0,0157","0,2759","0,0073"
"","0,9800","0,0160","0,2761","0,0075"
"","1,0000","0,0163","0,2769","0,0076"
"","1,0200","0,0167","0,2778","0,0078"
"","1,0400","0,0170","0,2777","0,0080"
"","1,0600","0,0174","0,2790","0,0082"
"","1,0800","0,0177","0,2793","0,0083"
"","1,1000","0,0180","0,2801","0,0085"
"","1,1200","0,0184","0,2815","0,0087"
"","1,1400","0,0187","0,2823","0,0089"
"","1,1600","0,0190","0,2825","0,0090"
"","1,1800","0,0193","0,2826","0,0092"
"","1,2000","0,0196","0,2841","0,0093"
"","1,2200","0,0199","0,2848","0,0095"
"","1,2400","0,0203","0,2858","0,0097"
"","1,2600","0,0206","0,2861","0,0098"
"","1,2800","0,0210","0,2870","0,0100"
